,Waktu,pipi,alis,Pipi,Alis
552,21:29.5,52,923,0.25390625,4.506835938
553,21:29.5,53,923,0.258789063,4.506835938
554,21:29.5,52,923,0.25390625,4.506835938
555,21:29.5,52,923,0.25390625,4.506835938
556,21:29.5,52,914,0.25390625,4.462890625
557,21:29.5,52,921,0.25390625,4.497070313
558,21:29.5,52,921,0.25390625,4.497070313
559,21:29.5,52,922,0.25390625,4.501953125
560,21:29.5,53,921,0.258789063,4.497070313
561,21:29.5,56,920,0.2734375,4.4921875
562,21:29.5,57,921,0.278320313,4.497070313
563,21:29.5,56,922,0.2734375,4.501953125
564,21:29.6,56,922,0.2734375,4.501953125
565,21:29.6,54,924,0.263671875,4.51171875
566,21:29.6,55,923,0.268554688,4.506835938
567,21:29.6,55,921,0.268554688,4.497070313
568,21:29.6,54,921,0.263671875,4.497070313
569,21:29.6,54,922,0.263671875,4.501953125
570,21:29.6,53,922,0.258789063,4.501953125
571,21:29.6,55,921,0.268554688,4.497070313
572,21:29.6,54,922,0.263671875,4.501953125
573,21:29.6,53,924,0.258789063,4.51171875
574,21:29.6,53,924,0.258789063,4.51171875
575,21:29.6,53,922,0.258789063,4.501953125
576,21:29.6,52,922,0.25390625,4.501953125
